customer_id,age,monthly_fee,months_active,support_tickets,city,plan,contacted_support,churn
75,73,208.86,17,5,Göteborg,plus,nej,0
76,35,107.14,20,2,Malmö,basic,nej,1
77,35,333.41,39,,Uppsala,premium,nej,0
78,61,346.38,49,3,Malmö,premium,ja,0
79,46,207.31,41,5,Uppsala,plus,ja,1
80,24,87.91,19,3,Uppsala,basic,ja,1
81,67,217.51,1,3,Uppsala,plus,nej,0
82,49,344.44,18,2,Göteborg,premium,nej,0
83,58,356.19,20,2,Stockholm,premium,nej,0
84,47,93.8,60,3,Malmö,basic,nej,0
85,47,355.0,39,2,Göteborg,premium,ja,0
86,68,348.88,47,1,Uppsala,premium,ja,0
87,66,324.01,56,0,Göteborg,premium,nej,0
88,65,191.39,25,3,Göteborg,plus,nej,0
89,39,110.37,34,1,Stockholm,basic,ja,0
90,48,186.83,42,0,Malmö,plus,nej,0
91,49,354.5,41,3,Malmö,premium,ja,0
92,58,360.31,45,1,Stockholm,premium,ja,0
93,45,99.56,44,5,Göteborg,basic,ja,1
94,61,79.16,15,,Malmö,basic,nej,0
95,75,195.14,29,1,Malmö,plus,nej,0
96,,210.52,23,2,Malmö,plus,nej,1
97,18,366.23,4,2,Uppsala,premium,nej,0
98,32,353.19,49,3,Göteborg,premium,ja,0
99,46,77.63,6,1,Malmö,basic,nej,0
100,41,337.03,11,1,Uppsala,premium,nej,0
101,22,99.28,44,3,Uppsala,basic,nej,0
102,25,182.09,17,2,Uppsala,,nej,1
103,74,339.31,42,0,Uppsala,premium,nej,0
104,20,206.45,16,2,Göteborg,plus,nej,0
105,52,178.39,57,1,Stockholm,plus,nej,0
106,62,202.32,16,5,Malmö,plus,ja,1
107,59,210.19,8,5,Uppsala,plus,ja,1
108,19,101.57,9,5,Göteborg,basic,ja,1
109,70,94.98,58,2,Stockholm,basic,nej,1
110,34,122.2,9,,Malmö,basic,ja,1
111,26,342.52,5,1,Uppsala,premium,nej,0
112,57,94.32,43,,Malmö,basic,nej,0
113,72,192.59,46,1,Stockholm,plus,ja,0
114,57,328.65,25,2,Malmö,premium,nej,0
115,25,334.03,47,5,Göteborg,premium,nej,0
116,47,193.21,28,1,Malmö,plus,nej,0
117,23,104.63,48,1,Göteborg,basic,ja,0
118,25,185.55,49,1,Stockholm,plus,nej,0
119,31,93.09,7,1,Malmö,basic,ja,0
120,,376.35,40,3,Stockholm,premium,nej,0
121,39,229.27,37,3,Uppsala,plus,ja,0
122,65,352.4,22,0,Malmö,premium,nej,0
123,23,113.05,4,3,Stockholm,basic,nej,1
124,44,202.86,23,1,Stockholm,plus,nej,0
125,37,106.97,4,0,Göteborg,basic,nej,1
126,36,211.83,28,0,Göteborg,plus,nej,0
127,60,225.83,3,1,Stockholm,plus,nej,1
128,54,195.07,8,1,Stockholm,plus,nej,0
129,62,223.61,16,1,Uppsala,plus,ja,0
130,39,117.85,34,2,Göteborg,basic,nej,1
131,27,108.21,12,2,Göteborg,basic,ja,1
132,66,350.02,60,2,Malmö,premium,nej,0
133,,187.27,5,1,Uppsala,plus,nej,0
134,59,85.62,30,2,Stockholm,basic,nej,0
135,56,161.27,29,0,Malmö,plus,ja,0
136,46,178.66,24,1,Malmö,plus,nej,0
137,68,345.67,7,2,Uppsala,premium,nej,0
138,56,89.08,10,1,Malmö,basic,nej,1
139,53,190.7,9,,Stockholm,plus,nej,0
140,31,215.39,15,0,Göteborg,plus,ja,0
141,52,352.1,22,5,Göteborg,premium,nej,0
142,57,98.19,24,3,Göteborg,basic,nej,0
143,32,351.65,51,1,Göteborg,premium,nej,1
144,67,202.12,27,0,Göteborg,plus,ja,0
145,41,370.66,34,5,Stockholm,premium,nej,0
146,50,102.21,59,0,Uppsala,basic,nej,0
147,41,94.33,15,0,Malmö,basic,ja,0
148,26,92.52,45,,Göteborg,basic,nej,1
149,34,108.63,47,2,Uppsala,basic,ja,0
150,33,185.54,5,0,Uppsala,plus,ja,0
151,36,212.99,37,1,Göteborg,plus,ja,0
152,52,353.05,2,1,Uppsala,premium,ja,0
153,19,202.31,47,3,Stockholm,plus,nej,0
154,59,110.03,45,1,Göteborg,basic,ja,0
155,36,108.63,3,1,Malmö,basic,nej,1
156,66,354.1,50,0,Malmö,premium,nej,0
157,65,210.7,12,1,Uppsala,plus,nej,0
158,64,216.92,53,0,Malmö,plus,nej,0
159,46,347.17,29,1,Uppsala,premium,ja,0
160,45,182.0,4,0,Uppsala,plus,nej,0
161,19,112.12,29,0,Göteborg,basic,ja,0
162,54,81.14,24,1,Uppsala,basic,ja,0
163,59,199.02,48,0,Uppsala,plus,nej,0
164,63,203.56,45,1,Göteborg,plus,ja,0
165,63,226.36,55,1,Malmö,plus,ja,0
166,28,343.15,12,5,Malmö,premium,ja,0
167,68,217.8,24,1,Göteborg,plus,ja,0
168,48,335.96,37,0,Göteborg,premium,nej,0
169,40,117.8,41,2,Göteborg,basic,ja,0
170,25,354.15,21,3,Göteborg,premium,nej,0
171,23,211.43,18,0,Malmö,plus,ja,1
172,27,86.0,39,1,Stockholm,basic,ja,0
173,34,353.76,40,3,Stockholm,premium,nej,1
174,37,199.88,26,1,Uppsala,plus,ja,1
175,47,94.52,56,3,Malmö,basic,nej,1
176,53,91.93,18,1,Göteborg,basic,ja,1
177,57,199.33,11,5,Malmö,plus,nej,1
178,47,211.76,6,1,Uppsala,plus,ja,0
179,49,365.15,31,1,Stockholm,premium,ja,0
180,66,188.9,37,2,Göteborg,plus,nej,1
181,66,340.63,44,2,Stockholm,premium,ja,1
182,,372.33,13,2,Uppsala,premium,ja,0
183,48,329.26,33,0,Malmö,premium,nej,0
184,37,334.46,35,1,Malmö,premium,nej,0
185,44,337.62,56,3,Stockholm,premium,nej,1
186,55,349.68,31,0,Uppsala,premium,ja,0
187,62,104.88,27,0,Uppsala,basic,ja,1
188,73,345.68,34,0,Malmö,premium,nej,0
189,52,177.43,56,3,Malmö,plus,nej,0
190,32,202.11,45,3,Uppsala,plus,nej,0
191,64,194.39,35,1,Uppsala,plus,nej,0
192,36,378.94,42,1,Uppsala,premium,ja,0
193,62,212.49,38,0,Göteborg,plus,ja,0
194,21,78.61,7,3,Göteborg,basic,ja,1
195,59,189.09,19,1,Malmö,plus,ja,0
196,52,343.08,59,,Uppsala,premium,ja,0
197,68,208.72,56,1,Stockholm,plus,ja,1
198,39,178.4,34,1,Göteborg,plus,nej,0
199,64,184.75,1,3,Malmö,plus,nej,0
200,72,371.42,33,1,Stockholm,premium,nej,0
